b_Intercept,bs_sage_centered_1,sds_sage_centered_1,sigma,Intercept,s_sage_centered_1.1.,lp__,zs_1_1.1.
-0.296817,0.0346699,4.0435,0.417952,-0.296817,3.21937,-175.047,0.796184
-0.334659,0.0263429,3.0081,0.425575,-0.334659,2.86526,-174.532,0.952513
-0.327033,0.0146666,2.75375,0.422837,-0.327033,2.6928,-174.479,0.977866
-0.326435,0.00494879,2.89452,0.425365,-0.326435,2.99259,-174.94,1.03388
-0.319246,-0.00131691,2.99431,0.42371,-0.319246,2.96578,-175.248,0.99047
-0.316195,0.0296655,3.21996,0.414334,-0.316195,3.07303,-173.941,0.95437
-0.300163,0.0407113,2.87604,0.413534,-0.300163,2.80829,-174.929,0.976441
-0.302419,0.0414021,3.19027,0.414271,-0.302419,3.17968,-175.093,0.996683
-0.285367,0.0355091,3.34247,0.443596,-0.285367,3.113,-177.974,0.931346
-0.285588,0.00997238,2.31825,0.434119,-0.285588,3.21398,-177.514,1.38638
-0.312046,0.0157439,2.1815,0.42401,-0.312046,2.67366,-174.595,1.2256
-0.317267,0.0197429,1.74912,0.426774,-0.317267,2.60957,-175.133,1.49194
-0.310803,0.0291736,2.78019,0.418719,-0.310803,3.217,-174.307,1.15712
-0.314234,0.0330219,1.48635,0.418527,-0.314234,3.08879,-175.773,2.0781
-0.312243,0.0415455,1.23924,0.419197,-0.312243,2.75377,-176.626,2.22213
-0.30974,0.029466,4.30715,0.423287,-0.30974,2.43767,-174.766,0.565959
-0.303117,0.00216265,4.44932,0.405485,-0.303117,3.63856,-178.09,0.81778
-0.329348,0.0165536,3.63114,0.419072,-0.329348,3.60769,-176.034,0.993541
-0.331649,0.0134608,3.24326,0.417649,-0.331649,2.69079,-174.684,0.829655
-0.32213,0.0231755,4.44496,0.402674,-0.32213,2.50543,-175.779,0.563657
-0.32232,0.0309576,1.50921,0.444553,-0.32232,2.8691,-177.666,1.90106
-0.310107,0.03375,3.8765,0.403278,-0.310107,2.82475,-175.045,0.728684
-0.319112,0.0208006,2.75099,0.438516,-0.319112,3.07331,-175.35,1.11717
-0.326,0.0334898,2.62444,0.403417,-0.326,2.23991,-177.048,0.853481
-0.312917,0.0205624,5.97157,0.437091,-0.312917,2.85167,-175.312,0.477541
-0.311229,0.0171343,5.84875,0.440031,-0.311229,3.22437,-176.074,0.551292
-0.318363,0.0164432,7.75626,0.450515,-0.318363,3.03775,-178.153,0.391651
-0.309729,0.00928659,9.30068,0.445369,-0.309729,2.81989,-177.948,0.303192
-0.327251,0.0407633,12.6691,0.42658,-0.327251,3.30272,-177.049,0.260691
-0.305403,0.0107965,1.58768,0.412148,-0.305403,2.64243,-176.073,1.66434
-0.330259,0.0179932,1.52848,0.415042,-0.330259,2.78892,-175.728,1.82463
-0.312537,0.0184912,2.46652,0.42544,-0.312537,3.09165,-174.348,1.25344
-0.302912,0.0145735,1.98059,0.436073,-0.302912,2.69259,-176.066,1.35948
-0.300974,0.0450929,3.43757,0.401243,-0.300974,3.18895,-176.898,0.927676
-0.312308,0.0150584,5.72685,0.403737,-0.312308,3.42652,-176.292,0.598325
-0.312003,0.0148156,5.74824,0.404434,-0.312003,3.71733,-177.777,0.64669
-0.298305,0.00153437,6.32824,0.411408,-0.298305,3.68865,-178.418,0.582887
