b_Intercept,b_age_centered,b_Iage_centeredE2,b_Iage_centeredE3,sigma,Intercept,lp__
-7.49961,1.55913,-0.0517987,0.000455183,0.985319,1.27672,-6109.93
-7.48446,1.55877,-0.0518297,0.000455586,0.989175,1.27679,-6066.98
-7.49961,1.55691,-0.0518603,0.000457301,1.00221,1.27653,-5920.78
-7.50541,1.55679,-0.0517748,0.000455911,1.00374,1.27665,-5903.87
-7.57571,1.5568,-0.0511256,0.000445469,1.00365,1.27667,-5910.57
-7.55588,1.5553,-0.0510716,0.000444711,1.01562,1.27702,-5784.18
-7.43725,1.55532,-0.0517654,0.000454904,1.01581,1.27705,-5778.02
-7.53785,1.55349,-0.0515068,0.000453144,1.02502,1.27685,-5679.43
-7.46081,1.55349,-0.0515223,0.000451744,1.02502,1.27685,-5678.61
-7.4097,1.55358,-0.0518345,0.000456343,1.02515,1.27686,-5679.4
-7.48043,1.55349,-0.0514182,0.000450255,1.02567,1.27689,-5672.51
-7.41521,1.55343,-0.0517795,0.000455518,1.02594,1.27694,-5670.95
-7.52438,1.55344,-0.0515705,0.000454049,1.02648,1.27691,-5665.01
-7.46105,1.55342,-0.0514851,0.000451096,1.02655,1.27691,-5664.39
-7.43434,1.5531,-0.0516429,0.000453566,1.02702,1.2769,-5658.1
-7.4519,1.55257,-0.0514882,0.000451332,1.03126,1.2771,-5615.93
-7.41276,1.55272,-0.0517295,0.000454861,1.03221,1.27713,-5608.74
-7.4149,1.55271,-0.0517229,0.00045479,1.03225,1.27713,-5608.17
-7.5052,1.55273,-0.0515177,0.000452975,1.03253,1.27725,-5603.56
-7.53266,1.55225,-0.0513286,0.000450302,1.03932,1.27727,-5539.62
-7.53993,1.55226,-0.0513723,0.000451264,1.04093,1.27714,-5525.81
-7.51257,1.5521,-0.0515422,0.000453866,1.0413,1.2771,-5521.37
-7.47411,1.5515,-0.0515539,0.000453506,1.04335,1.27696,-5497.96
-7.49229,1.55154,-0.0513035,0.000449266,1.04352,1.27692,-5497.5
-7.44175,1.55179,-0.0516452,0.000454353,1.04565,1.27693,-5479.38
-7.46586,1.55142,-0.0515977,0.000454163,1.04841,1.27683,-5452.59
-7.48742,1.55132,-0.0514693,0.000452311,1.04863,1.27685,-5450.1
-7.45176,1.54958,-0.0513627,0.000450335,1.0519,1.27669,-5413.56
-7.44343,1.54543,-0.0514491,0.000453585,1.06827,1.27645,-5254.52
-7.46608,1.54472,-0.0512463,0.000450652,1.06972,1.27644,-5238.75
-7.45158,1.54472,-0.0511415,0.000448401,1.07001,1.27642,-5236.03
-7.43837,1.5447,-0.0512718,0.000450529,1.07018,1.27643,-5234.1
