b_Intercept,bs_sage_centered_1,sds_sage_centered_1,sigma,Intercept,s_sage_centered_1.1.,lp__,zs_1_1.1.
-0.361498,0.0465475,1.82098,0.420552,-0.361498,2.79112,-179.548,1.53276
-0.312313,0.0233701,4.31719,0.435218,-0.312313,3.13923,-174.886,0.727148
-0.289165,0.0283309,2.59834,0.423773,-0.289165,2.78491,-175.451,1.0718
-0.285788,0.0302757,2.21399,0.425348,-0.285788,2.88757,-176.129,1.30424
-0.262819,0.0323086,2.62916,0.431867,-0.262819,2.87097,-180.052,1.09197
-0.27375,0.0245992,3.75246,0.432363,-0.27375,3.60744,-179.636,0.961352
-0.349043,0.0250682,3.08577,0.413548,-0.349043,3.03584,-176.152,0.98382
-0.277075,0.0461592,6.92926,0.434516,-0.277075,3.12283,-179.077,0.450673
-0.291678,0.0418778,7.30022,0.445541,-0.291678,3.33449,-179.12,0.456766
-0.321883,0.0107569,1.87186,0.411623,-0.321883,3.32634,-176.163,1.77703
-0.309938,0.0409715,5.58599,0.427903,-0.309938,3.44528,-175.908,0.616771
-0.30863,0.0425584,5.83602,0.428046,-0.30863,3.36315,-175.798,0.576275
-0.323188,0.0171457,1.45432,0.409414,-0.323188,2.37471,-176.782,1.63287
-0.302312,0.0413764,2.12925,0.42412,-0.302312,2.81553,-175.132,1.32231
-0.306912,0.0376972,2.63206,0.424337,-0.306912,2.72294,-174.474,1.03453
-0.302615,0.0168977,1.58013,0.395767,-0.302615,2.44994,-178.775,1.55047
-0.319372,0.0297649,1.50924,0.447305,-0.319372,2.40267,-178.535,1.59198
-0.306029,0.0296342,1.58169,0.439516,-0.306029,2.392,-177.313,1.51231
-0.321207,0.037,8.67212,0.418477,-0.321207,3.10177,-175.136,0.357671
-0.324393,0.045722,3.44453,0.425479,-0.324393,2.57077,-175.097,0.746333
-0.327006,0.0447728,3.51434,0.426052,-0.327006,2.83175,-174.793,0.805771
-0.334517,0.0141686,4.76912,0.420423,-0.334517,3.46753,-175.806,0.727079
-0.294116,0.0202398,7.97422,0.416688,-0.294116,2.34849,-177.034,0.29451
-0.296766,0.0194297,10.566,0.420332,-0.296766,3.55235,-177.435,0.336206
-0.347097,0.0380922,0.949672,0.413232,-0.347097,3.12695,-181.776,3.29266
-0.289421,0.0119358,6.45815,0.42587,-0.289421,2.76875,-176.233,0.428721
-0.287593,0.0255969,6.10997,0.422205,-0.287593,2.75054,-175.877,0.450172
-0.354379,0.0268712,1.99613,0.425354,-0.354379,2.89782,-177.324,1.45172
-0.27922,0.0240087,10.1252,0.413621,-0.27922,2.98788,-178.065,0.295093
-0.27462,0.027489,10.4698,0.412612,-0.27462,3.16862,-179.201,0.302645
-0.271596,0.0281623,10.8956,0.411695,-0.271596,3.21423,-180.031,0.295003
-0.300602,0.0168538,7.25707,0.423083,-0.300602,2.78192,-175.136,0.383339
-0.303662,0.0172048,6.70552,0.422503,-0.303662,2.97767,-174.699,0.444063
-0.303748,0.0191208,11.0433,0.42708,-0.303748,3.02014,-175.869,0.273482
-0.303748,0.0191208,11.0433,0.42708,-0.303748,3.02014,-175.869,0.273482
-0.307107,0.018806,11.5163,0.426218,-0.307107,2.48444,-176.588,0.215733
-0.311723,-0.00364042,2.43821,0.409547,-0.311723,2.66722,-176.492,1.09392
-0.283311,0.026226,1.42668,0.445155,-0.283311,2.57281,-179.948,1.80336
-0.325322,0.0179626,1.49896,0.417978,-0.325322,3.23304,-176.305,2.15686
-0.323725,0.00131738,1.60553,0.406597,-0.323725,2.79944,-177.065,1.74363
-0.317208,0.0474536,5.19926,0.433247,-0.317208,3.43702,-176.648,0.661059
-0.322196,0.0414206,5.29935,0.427406,-0.322196,2.56367,-175.122,0.483772
-0.309726,0.0208198,3.28098,0.409628,-0.309726,2.74552,-174.329,0.836797
-0.320209,0.0226835,4.55322,0.406594,-0.320209,2.97807,-174.49,0.654057
-0.306331,0.0302626,1.69366,0.429719,-0.306331,2.72743,-175.428,1.61038
-0.314144,0.0233071,2.29926,0.409462,-0.314144,2.70168,-174.582,1.17502
-0.30027,0.0339182,2.82717,0.422113,-0.30027,3.32515,-175.244,1.17614
-0.305728,0.0470021,4.19232,0.423279,-0.305728,2.64394,-175.12,0.630662
-0.338251,0.0243943,4.98868,0.41991,-0.338251,3.10531,-174.915,0.622472
-0.31147,0.0107586,1.98882,0.415775,-0.31147,3.32683,-175.732,1.67277
-0.317309,0.00395858,1.98868,0.411419,-0.317309,2.60639,-175.906,1.31061
-0.314461,0.0422673,4.26822,0.4203,-0.314461,3.33547,-175.063,0.781466
-0.291934,0.0305196,7.44103,0.441892,-0.291934,3.60375,-179.091,0.484308
-0.328367,-0.00550963,1.91015,0.402966,-0.328367,2.88216,-178.045,1.50887
-0.307326,0.0580154,2.74285,0.422981,-0.307326,2.47653,-176.616,0.902901
-0.316205,0.0367911,2.99725,0.423681,-0.316205,3.29682,-174.729,1.09994
-0.33209,0.0289348,4.5396,0.421011,-0.33209,2.97923,-174.283,0.656275
-0.270756,0.0220294,3.38774,0.416989,-0.270756,2.34039,-179.343,0.69084
-0.349806,0.0143428,2.3189,0.427781,-0.349806,3.45224,-177.981,1.48874
-0.333658,0.0290829,5.58471,0.427374,-0.333658,3.22375,-175.153,0.577246
-0.30993,0.0190166,7.19762,0.420258,-0.30993,2.44693,-175.458,0.339964
-0.32542,0.0270437,4.27702,0.421255,-0.32542,3.17682,-174.151,0.742765
-0.332561,-0.00548042,3.30924,0.404697,-0.332561,3.17558,-177.474,0.959609
-0.303167,0.0591456,2.01596,0.438461,-0.303167,2.65043,-178.131,1.31472
-0.314415,0.0532704,3.06882,0.443029,-0.314415,3.2188,-177.685,1.04887
-0.336282,-0.000480297,2.40769,0.416666,-0.336282,2.58939,-176.644,1.07547
-0.325113,0.0102407,3.26309,0.419332,-0.325113,3.6525,-176.411,1.11934
-0.325345,0.0118244,1.53874,0.4212,-0.325345,2.16854,-177.382,1.40929
-0.315272,0.0408307,2.63982,0.429866,-0.315272,3.64743,-177.107,1.3817
-0.331236,0.0233672,1.95284,0.414324,-0.331236,3.73781,-178.244,1.91403
-0.342514,0.0207344,1.72495,0.414149,-0.342514,2.79714,-176.297,1.62158
-0.321678,0.0538443,2.55845,0.413776,-0.321678,3.29089,-176.563,1.28629
-0.32245,0.0771584,3.41182,0.418956,-0.32245,2.25316,-180.469,0.660396
-0.316678,-0.00353015,2.58807,0.429004,-0.316678,2.38813,-176.999,0.922746
