b_Intercept,b_age_centered,b_Iage_centeredE2,sigma,Intercept,lp__
-0.137393,-0.0251404,0.000381907,0.407961,-0.325639,-174.851
-0.130824,-0.0250338,0.000370683,0.407508,-0.326367,-173.168
-0.0108661,-0.0331186,0.000453905,0.413427,-0.300317,-174.125
-0.11279,-0.0223726,0.000331901,0.421708,-0.28702,-174.937
-0.0856186,-0.0310447,0.000438137,0.414043,-0.346278,-173.481
-0.105442,-0.0279156,0.000390264,0.415713,-0.342956,-172.51
-0.116507,-0.0259039,0.000375313,0.42638,-0.325804,-171.7
-0.0653067,-0.0281012,0.000376525,0.416002,-0.318166,-172.858
-0.077881,-0.0282197,0.000393973,0.426156,-0.318441,-171.242
-0.0695964,-0.027195,0.000385541,0.421908,-0.296469,-171.724
-0.0614933,-0.0311088,0.000438517,0.420826,-0.323132,-171.619
-0.0343803,-0.0341498,0.000481036,0.42355,-0.32189,-173.143
-0.0678755,-0.0313234,0.000447649,0.421249,-0.326173,-171.84
-0.121817,-0.0227652,0.000320511,0.42058,-0.313614,-172.038
-0.0818993,-0.0282407,0.000389262,0.428223,-0.326856,-171.903
-0.0679131,-0.0327759,0.000469929,0.421524,-0.336906,-173.192
-0.0913198,-0.0324046,0.000486855,0.417197,-0.338514,-176.222
-0.148638,-0.0217269,0.000333643,0.419446,-0.3083,-175.556
-0.126478,-0.0217139,0.000307041,0.419453,-0.308295,-172.693
-0.0996019,-0.0295659,0.000414391,0.411935,-0.350268,-173.814
-0.108392,-0.0270219,0.000374689,0.425661,-0.340899,-172.514
-0.0926311,-0.0278237,0.000405759,0.431589,-0.315221,-172.037
-0.0838074,-0.0274703,0.000390081,0.432395,-0.312441,-171.611
-0.0757181,-0.0272414,0.000384092,0.409027,-0.304755,-171.615
-0.0658525,-0.0317568,0.000461896,0.411423,-0.320937,-172.662
-0.0624887,-0.0317614,0.000457994,0.411486,-0.320956,-172.326
-0.0477252,-0.0320397,0.000446087,0.410859,-0.321873,-172.52
-0.0933814,-0.0249273,0.000353413,0.417706,-0.301319,-171.702
-0.058056,-0.031547,0.000464981,0.434832,-0.306283,-173.986
-0.12744,-0.0243177,0.000334608,0.412443,-0.338858,-173.047
-0.0511997,-0.0308908,0.000447128,0.420538,-0.301159,-172.263
-0.12975,-0.0236734,0.000342455,0.410559,-0.321481,-172.259
-0.0566499,-0.0312157,0.000437455,0.42201,-0.321354,-171.708
-0.0441922,-0.0311174,0.000431268,0.418883,-0.312117,-171.922
-0.0298734,-0.0311597,0.000428958,0.421815,-0.300603,-172.682
-0.0427382,-0.0318768,0.000426059,0.413965,-0.330461,-175.116
-0.0819314,-0.0278132,0.000368943,0.39477,-0.335337,-177.248
-0.0509289,-0.0306064,0.000436543,0.450819,-0.304038,-175.233
-0.0364927,-0.0311912,0.000433947,0.45272,-0.303657,-176.028
-0.0694613,-0.0252835,0.000331959,0.460935,-0.302707,-179.814
-0.0886961,-0.0267687,0.000355117,0.420377,-0.332562,-173.781
-0.0904213,-0.0267641,0.000358555,0.420447,-0.331297,-173.069
-0.0844636,-0.028186,0.000379033,0.411771,-0.336931,-173.746
